sexo,edad,zona,region,preferencia_presidencial,opinion_gobierno,voto,razon
H,40-70,urbano,Interior del País,Martín Vizcarra,Desaprueba,Martín Vizcarra,"La persona podría haber votado por Martín Vizcarra debido a su enfoque en la lucha contra la corrupción y las reformas políticas, temas que resuenan con votantes urbanos del interior del país que desaprueban al gobierno actual."
H,40-70,rural,Interior del País,Keiko Fujimori,Desaprueba,Keiko Fujimori,"La persona podría haber votado por Keiko Fujimori debido a su descontento con el gobierno actual y una percepción de que Fujimori ofrece una propuesta política que podría beneficiar al interior del país, alineándose con sus preferencias previas."
H,18-24,urbano,Interior del País,Keiko Fujimori,Desaprueba,Keiko Fujimori,"La persona podría haber votado por Keiko Fujimori debido a su desaprobación del gobierno actual, buscando un cambio que perciben que Fujimori podría ofrecer, basado en su preferencia previa y el contexto político que asocia a Fujimori con políticas más alineadas a la oposición."
H,25-39,urbano,Interior del País,No precisa,Desaprueba,Martin Vizcarra.,"Esa persona podría haber votado por Martín Vizcarra debido a su postura crítica frente al gobierno actual y su enfoque en reformas anticorrupción, lo que resuena con su desaprobación hacia la gestión actual del gobierno."
H,25-39,urbano,Interior del País,Blanco/Nulo,Desaprueba,Martín Vizcarra,"La persona podría haber votado por Martín Vizcarra debido a su percepción de necesidad de cambio y combate a la corrupción, asociada con su postura crítica hacia el gobierno actual y su desaprobación general previa reflejada en su tendencia a votar en blanco o nulo."
H,40-70,rural,Interior del País,Carlos Álvarez,Desaprueba,Keiko Fujimori,"La persona pudo haber optado por Keiko Fujimori debido a su percepción de que ella ofrece un liderazgo fuerte y una oposición clara al gobierno actual, lo cual podría alinear con su desaprobación del gobierno y su deseo de cambio en un contexto donde los perfiles de los candidatos no satisfacen sus expectativas previas con Carlos Álvarez."
H,40-70,rural,Lima - Callao,Carlos Álvarez,Desaprueba,Keiko Fujimori,"La persona podría haber votado por Keiko Fujimori debido a su estrategia de apelar a votantes descontentos con el gobierno actual, ofreciendo una propuesta percibida como fuerte y con experiencia, especialmente atractiva para aquellos en zonas rurales de Lima y Callao."
H,25-39,rural,Interior del País,Rafael López Aliaga,Desaprueba,Keiko Fujimori,La persona pudo haber decidido votar por Keiko Fujimori debido a su desaprobación al gobierno actual y la percepción de que Fujimori podría representar una alternativa de oposición más efectiva frente al contexto político vigente en el interior del país.
M,25-39,rural,Interior del País,No precisa,Desaprueba,Keiko Fujimori,"La persona podría haber votado por Keiko Fujimori debido a su mensaje de mano dura contra la inseguridad y su enfoque en políticas que promueven el desarrollo económico en zonas rurales, resonando con las preocupaciones y necesidades de su contexto regional y su desaprobación del gobierno actual."
H,40-70,rural,Interior del País,Hernando De Soto,Desaprueba,Keiko Fujimori,"Basado en su desaprobación del gobierno actual y su preferencia previa por Hernando de Soto, es probable que el votante haya optado por Keiko Fujimori buscando una alternativa que represente un cambio económico y de liderazgo frente a las políticas vigentes."
